PATIENT_ID,SESSION_ID,WAV_FILE_PATH,MIN_AMPLITUDE,MAX_AMPLITUDE,MEAN_AMPLITUDE,STD_DEV_AMPLITUDE
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_59_30_515.0.wav,-42433288,57698380,11776.432509502602,3646335.4043283314
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_49_20_89.0.wav,-227154704,218962464,6198.432404000307,8600481.916824479
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_46_53_844.0.wav,-184948240,163058544,6273.794647749619,9210628.435054237
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_59_53_384.0.wav,-52000224,60446972,5749.0053298518915,3483258.882750121
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_58_27_194.0.wav,-44628152,55035312,4347.870844755813,3663227.090537554
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_45_16_458.0.wav,-50726412,60950340,6050.115382188454,5987318.636673713
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_54_3_551.0.wav,-96554552,95216368,7037.689345029035,6840520.779378676
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_18_4_42_506.0.wav,-40174792,37877468,396.6780941834098,4211736.944398084
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_18_2_25_588.0.wav,-159191808,181671328,6084.77673497325,5455898.68008601
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_18_1_0_641.0.wav,-41803576,40109256,5809.269156934219,3287809.17874752
QRID000021,QRID000021_S000605_9_29_21,/Users/MK/Library/CloudStorage/OneDrive-TheMountSinaiHospital/Q-Lab/QRID000021/QRID000021_S000605_9_29_21/QRID000021_S000605_Interactive_Wall_9_29_21/QRID000021_S000605_Interactive_Wall_kinect_audio_9_29_21_17_58_0_242.0.wav,-50706592,58656512,6567.760768060438,3466409.3653977807
